field,types,records_with_field,field_coverage_pct,matched_field_coverage_pct,records_with_value,value_coverage_pct,matched_value_coverage_pct,returned_record_count,submitted_domain_count,occurrences
categories,array,235,67.34,99.58,235,67.34,99.58,236,349,235
categories[],string,235,67.34,99.58,235,67.34,99.58,236,349,536
description,string,235,67.34,99.58,235,67.34,99.58,236,349,235
domain,string,236,67.62,100,236,67.62,100,236,349,236
employees,string,176,50.43,74.58,176,50.43,74.58,236,349,176
financial,object,38,10.89,16.1,38,10.89,16.1,236,349,38
financial.funding,array,32,9.17,13.56,32,9.17,13.56,236,349,32
financial.funding[].amount,string,10,2.87,4.24,10,2.87,4.24,236,349,14
financial.funding[].date,string,32,9.17,13.56,32,9.17,13.56,236,349,68
financial.funding[].from,string,18,5.16,7.63,18,5.16,7.63,236,349,32
financial.funding[].type,string,32,9.17,13.56,32,9.17,13.56,236,349,68
financial.funding_date,string,25,7.16,10.59,25,7.16,10.59,236,349,25
financial.funding_stage,string,25,7.16,10.59,25,7.16,10.59,236,349,25
financial.total_funding,integer,25,7.16,10.59,25,7.16,10.59,236,349,25
founded_year,integer,151,43.27,63.98,151,43.27,63.98,236,349,151
id,string,236,67.62,100,236,67.62,100,236,349,236
industries,array,235,67.34,99.58,235,67.34,99.58,236,349,235
industries[],string,235,67.34,99.58,235,67.34,99.58,236,349,643
industry,string,235,67.34,99.58,235,67.34,99.58,236,349,235
keywords,array,235,67.34,99.58,235,67.34,99.58,236,349,235
keywords[],string,235,67.34,99.58,235,67.34,99.58,236,349,5153
location,object,215,61.6,91.1,215,61.6,91.1,236,349,215
location.address,string,197,56.45,83.47,197,56.45,83.47,236,349,197
location.city,object,147,42.12,62.29,147,42.12,62.29,236,349,147
location.city.id,integer,147,42.12,62.29,147,42.12,62.29,236,349,147
location.city.latitude,integer|number,147,42.12,62.29,147,42.12,62.29,236,349,147
location.city.longitude,integer|number,147,42.12,62.29,147,42.12,62.29,236,349,147
location.city.name,string,147,42.12,62.29,147,42.12,62.29,236,349,147
location.country,object,215,61.6,91.1,215,61.6,91.1,236,349,215
location.country.code,string,215,61.6,91.1,215,61.6,91.1,236,349,215
location.country.latitude,integer|number,215,61.6,91.1,215,61.6,91.1,236,349,215
location.country.longitude,integer|number,215,61.6,91.1,215,61.6,91.1,236,349,215
location.country.name,string,215,61.6,91.1,215,61.6,91.1,236,349,215
location.phone,string,188,53.87,79.66,188,53.87,79.66,236,349,188
location.postal_code,string,154,44.13,65.25,154,44.13,65.25,236,349,154
location.state,object,162,46.42,68.64,162,46.42,68.64,236,349,162
location.state.code,string,162,46.42,68.64,162,46.42,68.64,236,349,162
location.state.id,integer,162,46.42,68.64,162,46.42,68.64,236,349,162
location.state.latitude,number,162,46.42,68.64,162,46.42,68.64,236,349,162
location.state.longitude,number,162,46.42,68.64,162,46.42,68.64,236,349,162
location.state.name,string,162,46.42,68.64,162,46.42,68.64,236,349,162
logo_url,string,236,67.62,100,236,67.62,100,236,349,236
naics_codes,array,235,67.34,99.58,235,67.34,99.58,236,349,235
naics_codes[],string,235,67.34,99.58,235,67.34,99.58,236,349,744
name,string,236,67.62,100,236,67.62,100,236,349,236
page_rank,integer|number,236,67.62,100,236,67.62,100,236,349,236
revenue,string,129,36.96,54.66,129,36.96,54.66,236,349,129
seo_description,string,185,53.01,78.39,185,53.01,78.39,236,349,185
socials,object,227,65.04,96.19,227,65.04,96.19,236,349,227
socials.angellist_url,string,11,3.15,4.66,11,3.15,4.66,236,349,11
socials.crunchbase_url,string,26,7.45,11.02,26,7.45,11.02,236,349,26
socials.facebook_url,string,203,58.17,86.02,203,58.17,86.02,236,349,203
socials.g2_url,string,12,3.44,5.08,12,3.44,5.08,236,349,12
socials.github_url,string,7,2.01,2.97,7,2.01,2.97,236,349,7
socials.instagram_url,string,135,38.68,57.2,135,38.68,57.2,236,349,135
socials.linkedin_id,string,180,51.58,76.27,180,51.58,76.27,236,349,180
socials.linkedin_url,string,194,55.59,82.2,194,55.59,82.2,236,349,194
socials.twitter_url,string,183,52.44,77.54,183,52.44,77.54,236,349,183
socials.youtube_url,string,103,29.51,43.64,103,29.51,43.64,236,349,103
subsidiaries,array,3,0.86,1.27,3,0.86,1.27,236,349,3
subsidiaries[],string,3,0.86,1.27,3,0.86,1.27,236,349,8
technologies,array,236,67.62,100,210,60.17,88.98,236,349,236
technologies[],string,210,60.17,88.98,210,60.17,88.98,236,349,2916
type,string,148,42.41,62.71,148,42.41,62.71,236,349,148
updated_at,string,236,67.62,100,236,67.62,100,236,349,236
website,string,236,67.62,100,236,67.62,100,236,349,236
